rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
18160,963,11,1_1,0x0,27,0,0
18160,998,15,0_1,0x30,24,0,0
18160,999,6,1_1,0x32,27,0,0
18160,999,7,1_1,0x33,26,0,1
18160,1000,15,0_1,0x62,23,0,0
18160,1001,6,1_1,0x0,27,0,0
18160,1001,7,1_1,0x64,26,0,1
18160,1001,10,1_1,0x0,27,0,2
18160,1001,12,1_1,0x65,27,0,3
18160,1001,13,1_1,0x12c,27,0,4
18160,1001,14,1_1,0x3fc,27,0,5
18160,1002,15,0_1,0x2,25,0,0
18160,1003,11,0_1,0x2,26,0,0
18160,1004,6,1_1,0x32,27,0,0
18160,1004,7,1_1,0x33,26,0,1
18160,1006,15,0_1,0x30,25,0,0
18160,1007,11,0_1,0x30,25,1,0
18160,1013,13,1_1,0x32,27,0,0
18160,1022,15,0_1,0x42,23,0,0
18160,1023,6,1_1,0x0,27,0,0
18160,1023,7,1_1,0x64,26,0,1
18160,0,15,0_1,0x2,24,0,0
18160,1,11,0_1,0x2,26,0,0
18160,2,5,1_1,0x32,27,0,0
18160,2,7,1_1,0x33,26,0,1
18160,2,10,1_1,0x0,27,0,2
18160,2,12,1_1,0x65,26,0,3
18160,2,13,1_1,0x190,27,0,4
18160,2,14,1_1,0x41a,27,0,5
18160,4,15,0_1,0x30,25,0,0
18160,5,11,0_1,0x30,25,1,0
18160,6,5,0_1,0x2,26,0,0
18160,6,16,1_1,0x0,27,0,0
18160,7,0,1_1,0x0,27,0,1
18160,8,15,0_1,0x2,26,0,0
18160,39,15,1_1,0x32,27,0,0
18160,89,17,1_1,0x0,26,0,0
18160,98,15,0_1,0x2,25,0,0
18160,99,6,1_1,0x0,27,0,0
18160,99,7,1_1,0x33,26,0,1
18160,100,15,0_1,0x2,24,0,0
18160,101,11,0_1,0x30,23,0,0
18160,102,5,1_1,0x32,27,0,0
18160,102,7,1_1,0x64,26,0,1
18160,102,10,1_1,0x0,27,0,2
18160,102,12,1_1,0x65,26,0,3
18160,102,13,1_1,0x165,27,0,4
18160,102,14,1_1,0x3fc,27,0,5
18160,104,15,0_1,0x42,21,0,0
18160,105,11,0_1,0x30,24,0,0
18160,106,5,1_1,0x0,27,0,0
18160,106,7,1_1,0x64,26,0,1
18160,108,15,0_1,0x2,25,0,0
18160,109,11,0_1,0x2,25,1,0
18160,110,15,0_1,0x2,24,0,0
18160,111,6,1_1,0x32,27,0,0
18160,111,7,1_1,0x33,26,0,1
18160,112,15,0_1,0x2,26,0,0
18160,113,11,0_1,0x2,25,0,0
18160,114,5,0_1,0x2,25,1,0
18160,114,16,1_1,0x0,27,0,0
18160,115,0,1_1,0x33,27,0,1
18160,115,2,1_1,0x65,27,0,2
18160,115,3,1_1,0x12c,27,0,3
18160,115,4,1_1,0x3fc,27,0,4
18160,116,15,0_1,0x30,25,0,0
18160,117,11,0_1,0x2,24,0,0
18160,118,5,1_1,0x0,27,0,0
18160,118,7,1_1,0x33,26,0,1
18160,120,15,0_1,0x30,25,0,0
18160,121,11,0_1,0x2,25,1,0
18160,140,1,1_1,0x0,26,0,0
18160,190,3,1_1,0x32,27,0,0
18160,202,15,0_1,0x30,25,0,0
18160,203,11,0_1,0x30,25,1,0
18160,204,6,1_1,0x0,27,0,0
18160,204,7,1_1,0x33,26,0,1
18160,206,15,0_1,0x30,24,0,0
18160,207,11,0_1,0x2,22,0,0
18160,208,6,1_1,0x32,27,0,0
18160,208,7,1_1,0x64,26,0,1
18160,208,10,1_1,0x32,27,0,2
18160,208,12,1_1,0x65,26,0,3
18160,208,13,1_1,0x190,27,0,4
18160,208,14,1_1,0x41a,27,0,5
18160,210,15,0_1,0x62,22,0,0
18160,211,11,0_1,0x30,21,0,0
18160,212,6,1_1,0x32,27,0,0
18160,212,7,1_1,0x64,26,0,1
18160,214,15,0_1,0x42,22,0,0
18160,240,6,1_1,0x32,27,0,0
18160,284,15,0_1,0x2,24,0,0
18160,285,6,1_1,0x0,27,0,0
18160,285,7,1_1,0x33,26,0,1
18160,286,15,0_1,0x62,21,0,0
18160,287,6,1_1,0x0,27,0,0
18160,287,7,1_1,0x33,26,0,1
18160,287,10,1_1,0x32,27,0,2
18160,287,12,1_1,0x65,27,0,3
18160,287,13,1_1,0xff,27,0,4
18160,287,14,1_1,0x3fc,27,0,5
18160,288,15,0_1,0x62,21,0,0
18160,289,11,0_1,0x30,22,0,0
18160,290,5,1_1,0x0,27,0,0
18160,290,7,1_1,0x64,26,0,1
18160,292,15,0_1,0x42,21,0,0
18160,306,15,0_1,0x30,24,0,0
18160,307,6,1_1,0x0,27,0,0
18160,307,7,1_1,0x64,26,0,1
18160,308,15,0_1,0x2,25,0,0
18160,309,11,0_1,0x30,24,0,0
18160,310,5,1_1,0x32,27,0,0
18160,310,7,1_1,0x33,26,0,1
18160,310,10,1_1,0x32,27,0,2
18160,310,12,1_1,0x65,26,0,3
18160,310,13,1_1,0x165,27,0,4
18160,310,14,1_1,0x3fc,27,0,5
18160,312,15,0_1,0x42,22,0,0
18160,313,11,0_1,0x2,24,0,0
18160,314,5,1_1,0x32,27,0,0
18160,314,7,1_1,0x33,26,0,1
18160,316,15,0_1,0x62,22,0,0
18160,340,10,1_1,0x0,27,0,0
18160,348,15,0_1,0x62,23,0,0
18160,349,6,1_1,0x0,27,0,0
18160,349,7,1_1,0x33,26,0,1
18160,350,15,0_1,0x42,23,0,0
18160,351,6,1_1,0x0,27,0,0
18160,351,7,1_1,0x64,26,0,1
18160,351,10,1_1,0x0,27,0,2
18160,351,12,1_1,0x65,27,0,3
18160,351,13,1_1,0xff,27,0,4
18160,351,14,1_1,0x41a,27,0,5
18160,352,15,0_1,0x2,25,0,0
18160,353,11,0_1,0x30,25,0,0
18160,354,5,0_1,0x2,25,1,0
18160,354,16,1_1,0x32,27,0,0
18160,355,0,1_1,0x0,27,0,1
18160,356,15,0_1,0x2,25,0,0
18160,390,11,1_1,0x32,26,0,0
18160,392,15,0_1,0x2,26,0,0
18160,393,6,1_1,0x32,27,0,0
18160,393,7,1_1,0x33,26,0,1
18160,394,15,0_1,0x30,26,0,0
18160,395,11,0_1,0x30,25,0,0
18160,396,6,1_1,0x0,27,0,0
18160,396,7,1_1,0x33,26,0,1
18160,396,10,1_1,0x32,27,0,2
18160,396,12,1_1,0x65,26,0,3
18160,396,13,1_1,0x165,27,0,4
18160,396,14,1_1,0x3fc,27,0,5
18160,398,15,0_1,0x2,24,0,0
18160,399,11,0_1,0x62,24,0,0
18160,400,6,1_1,0x32,27,0,0
18160,400,7,1_1,0x33,26,0,1
18160,400,15,0_1,0x30,24,0,0
18160,401,7,1_1,0x64,26,0,0
18160,402,15,0_1,0x2,24,0,0
18160,403,11,0_1,0x2,25,0,0
18160,404,6,1_1,0x32,27,0,0
18160,404,7,1_1,0x64,26,0,1
18160,404,10,1_1,0x0,27,0,2
18160,404,12,1_1,0x65,26,0,3
18160,404,13,1_1,0x165,27,0,4
18160,404,14,1_1,0x41a,27,0,5
18160,406,15,0_1,0x2,26,0,0
18160,407,11,0_1,0x2,26,1,0
18160,408,5,0_1,0x30,25,0,0
18160,408,16,1_1,0x0,27,0,0
18160,409,0,1_1,0x0,27,0,1
18160,410,15,0_1,0x2,24,0,0
18160,414,15,0_1,0x30,24,0,0
18160,415,6,1_1,0x32,27,0,0
18160,415,7,1_1,0x64,26,0,1
18160,416,15,0_1,0x2,25,0,0
18160,417,11,0_1,0x30,25,0,0
18160,418,5,0_1,0x30,25,1,0
18160,418,16,1_1,0x32,27,0,0
18160,419,0,1_1,0x64,27,0,1
18160,419,2,1_1,0x65,27,0,2
18160,419,3,1_1,0x12c,27,0,3
18160,419,4,1_1,0x41a,27,0,4
18160,420,15,0_1,0x42,23,0,0
18160,421,6,1_1,0x32,27,0,0
18160,421,7,1_1,0x64,26,0,1
18160,422,15,0_1,0x30,24,0,0
18160,440,13,1_1,0x32,27,0,0
18160,490,15,0_1,0x30,24,0,0
18160,490,15,1_1,0x0,27,0,0
18160,491,6,1_1,0x0,27,0,0
18160,491,7,1_1,0x64,26,0,1
18160,492,15,0_1,0x62,22,0,0
18160,493,6,1_1,0x0,27,0,0
18160,493,7,1_1,0x33,26,0,1
18160,493,10,1_1,0x32,27,0,2
18160,493,12,1_1,0x65,27,0,3
18160,493,13,1_1,0x12c,27,0,4
18160,493,14,1_1,0x41a,27,0,5
18160,494,15,0_1,0x42,22,0,0
18160,495,11,0_1,0x30,24,0,0
18160,496,6,1_1,0x0,27,0,0
18160,496,7,1_1,0x64,26,0,1
18160,498,15,0_1,0x2,25,0,0
18160,524,15,0_1,0x30,25,0,0
18160,525,11,0_1,0x30,25,1,0
18160,526,5,1_1,0x32,27,0,0
18160,526,7,1_1,0x64,26,0,1
18160,528,15,0_1,0x62,22,0,0
18160,529,6,1_1,0x32,27,0,0
18160,529,7,1_1,0x33,26,0,1
18160,529,10,1_1,0x32,27,0,2
