rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
19754,969,15,1_1,0x165,27,0,0
19754,970,10,1_1,0x190,27,0,0
19754,970,15,0_1,0x42,22,0,0
19754,971,5,1_1,0x190,27,0,0
19754,972,1,1_1,0x165,26,0,0
19754,972,13,1_1,0x190,27,0,1
19754,972,15,0_1,0x62,23,0,0
19754,973,7,1_1,0x3e8,27,0,0
19754,974,1,1_1,0x165,27,0,1
19754,974,15,0_1,0x30,24,0,0
19754,974,17,1_1,0x3c9,27,0,0
19754,975,11,1_1,0x190,27,0,1
19754,976,6,1_1,0x190,27,0,0
19754,976,15,0_1,0x42,21,0,0
19754,977,0,1_1,0x165,27,0,1
19754,977,13,1_1,0x165,27,0,0
19754,978,10,1_1,0x190,27,0,0
19754,978,15,0_1,0x42,21,0,0
19754,979,3,1_1,0x190,27,0,1
19754,979,17,1_1,0x3c9,27,0,0
19754,980,11,1_1,0x190,26,0,1
19754,980,15,0_1,0x62,23,0,0
19754,981,5,1_1,0x165,27,0,0
19754,982,1,1_1,0x190,27,0,0
19754,982,15,0_1,0x62,21,0,0
19754,982,15,1_1,0x165,27,0,0
19754,983,10,1_1,0x165,27,0,0
19754,984,6,1_1,0x190,27,0,0
19754,984,15,0_1,0x62,21,0,0
19754,984,17,1_1,0x3e8,27,0,1
19754,985,13,1_1,0x190,27,0,0
19754,986,7,1_1,0x3e8,27,0,0
19754,986,15,0_1,0x42,21,0,0
19754,987,1,1_1,0x165,27,0,1
19754,987,15,1_1,0x190,27,0,0
19754,988,1,1_1,0x0,26,0,1
19754,988,10,1_1,0x190,27,0,0
19754,988,15,0_1,0x42,23,0,0
19754,989,5,1_1,0x165,27,0,0
19754,990,1,1_1,0x165,27,0,0
19754,990,13,1_1,0x165,27,0,1
19754,990,15,0_1,0x62,22,0,0
19754,991,7,1_1,0x3c9,27,0,0
19754,992,1,1_1,0x165,26,0,1
19754,992,15,0_1,0x30,24,0,0
19754,992,17,1_1,0x3c9,27,0,0
19754,993,11,1_1,0x190,27,0,1
19754,994,5,1_1,0x165,27,0,0
19754,994,15,0_1,0x62,21,0,0
19754,995,0,1_1,0x190,27,0,0
19754,995,13,1_1,0x165,27,0,1
19754,996,10,1_1,0x190,27,0,0
19754,996,15,0_1,0x42,21,0,0
19754,997,3,1_1,0x190,27,0,1
19754,997,17,1_1,0x3c9,27,0,0
19754,998,11,1_1,0x190,26,0,1
19754,998,15,0_1,0x62,21,0,0
19754,999,5,1_1,0x190,27,0,0
19754,1000,1,1_1,0x190,26,0,0
19754,1000,15,0_1,0x62,21,0,0
19754,1000,15,1_1,0x165,27,0,0
19754,1001,10,1_1,0x190,27,0,0
19754,1002,3,1_1,0x190,27,0,1
19754,1002,15,0_1,0x62,21,0,0
19754,1002,17,1_1,0x3c9,27,0,0
19754,1003,13,1_1,0x190,27,0,1
19754,1004,7,1_1,0x3c9,27,0,0
19754,1004,15,0_1,0x42,21,0,0
19754,1005,1,1_1,0x165,27,0,1
19754,1005,15,1_1,0x190,27,0,0
19754,1006,10,1_1,0x190,27,0,0
19754,1006,15,0_1,0x62,21,0,0
19754,1007,5,1_1,0x190,27,0,0
19754,1008,1,1_1,0x165,26,0,0
19754,1008,13,1_1,0x165,27,0,1
19754,1008,15,0_1,0x62,21,0,0
19754,1009,7,1_1,0x3e8,27,0,0
19754,1010,1,1_1,0x165,27,0,1
19754,1010,15,0_1,0x42,21,0,0
19754,1010,17,1_1,0x3e8,27,0,0
19754,1011,11,1_1,0x165,27,0,1
19754,1012,6,1_1,0x165,27,0,0
19754,1012,15,0_1,0x42,21,0,0
19754,1013,0,1_1,0x190,27,0,1
19754,1013,13,1_1,0x165,27,0,0
19754,1014,10,1_1,0x190,27,0,0
19754,1014,15,0_1,0x62,22,0,0
19754,1015,3,1_1,0x190,27,0,1
19754,1015,17,1_1,0x3e8,27,0,0
19754,1016,11,1_1,0x190,26,0,1
19754,1016,15,0_1,0x42,21,0,0
19754,1017,5,1_1,0x165,27,0,0
19754,1018,1,1_1,0x165,27,0,0
19754,1018,15,0_1,0x42,21,0,0
19754,1018,15,1_1,0x190,27,0,0
19754,1019,10,1_1,0x165,27,0,0
19754,1020,6,1_1,0x165,27,0,0
19754,1020,15,0_1,0x42,23,0,0
19754,1020,17,1_1,0x3c9,27,0,1
19754,1021,13,1_1,0x165,27,0,0
19754,1022,7,1_1,0x3e8,27,0,0
19754,1022,15,0_1,0x2,24,0,0
19754,1023,1,1_1,0x165,27,0,1
19754,1023,15,1_1,0x190,27,0,0
19754,0,10,1_1,0x190,27,0,0
19754,0,15,0_1,0x2,25,0,0
19754,1,5,1_1,0x190,27,0,0
19754,2,1,1_1,0x190,27,0,0
19754,2,13,1_1,0x190,27,0,1
19754,2,15,0_1,0x62,23,0,0
19754,3,7,1_1,0x3c9,27,0,0
19754,4,1,1_1,0x165,26,0,1
19754,4,15,0_1,0x42,22,0,0
19754,4,17,1_1,0x3e8,27,0,0
19754,5,11,1_1,0x165,27,0,1
19754,6,5,1_1,0x165,27,0,0
19754,6,15,0_1,0x42,23,0,0
19754,7,0,1_1,0x165,27,0,0
19754,7,13,1_1,0x165,27,0,1
19754,8,10,1_1,0x165,27,0,0
19754,8,15,0_1,0x42,23,0,0
19754,9,3,1_1,0x190,27,0,1
19754,9,17,1_1,0x3e8,27,0,0
19754,10,11,1_1,0x165,26,0,1
19754,10,15,0_1,0x2,24,0,0
19754,11,5,1_1,0x190,27,0,0
19754,12,1,1_1,0x165,26,0,0
19754,12,15,0_1,0x2,25,0,0
19754,12,15,1_1,0x165,27,0,0
19754,13,10,1_1,0x190,27,0,0
19754,13,11,0_1,0x30,25,1,0
19754,14,3,1_1,0x190,27,0,1
19754,14,15,0_1,0x62,21,0,0
19754,14,17,1_1,0x3e8,27,0,0
19754,15,13,1_1,0x165,27,0,1
19754,16,7,1_1,0x3c9,27,0,0
19754,16,15,0_1,0x42,21,0,0
19754,17,1,1_1,0x165,27,0,1
19754,17,15,1_1,0x190,27,0,0
19754,18,10,1_1,0x165,27,0,0
19754,18,15,0_1,0x62,22,0,0
19754,19,5,1_1,0x190,27,0,0
19754,20,1,1_1,0x190,26,0,0
19754,20,13,1_1,0x165,27,0,1
19754,20,15,0_1,0x42,21,0,0
19754,21,7,1_1,0x3c9,27,0,0
19754,22,1,1_1,0x190,27,0,1
19754,22,15,0_1,0x42,21,0,0
19754,22,17,1_1,0x3c9,27,0,0
19754,23,11,1_1,0x165,27,0,1
19754,24,6,1_1,0x165,27,0,0
19754,24,15,0_1,0x42,22,0,0
19754,25,0,1_1,0x190,27,0,1
19754,25,13,1_1,0x165,27,0,0
19754,26,10,1_1,0x190,27,0,0
19754,26,15,0_1,0x62,22,0,0
19754,27,3,1_1,0x190,27,0,1
19754,27,17,1_1,0x3e8,27,0,0
19754,28,11,1_1,0x190,26,0,1
19754,28,15,0_1,0x42,21,0,0
19754,29,5,1_1,0x190,27,0,0
19754,30,1,1_1,0x190,27,0,0
19754,30,15,0_1,0x42,21,0,0
19754,30,15,1_1,0x190,27,0,0
19754,31,10,1_1,0x190,27,0,0
19754,32,6,1_1,0x190,27,0,0
19754,32,15,0_1,0x42,22,0,0
19754,32,17,1_1,0x3e8,27,0,1
19754,33,13,1_1,0x190,27,0,0
19754,34,7,1_1,0x3e8,27,0,0
19754,34,15,0_1,0x62,23,0,0
19754,35,1,1_1,0x165,27,0,1
19754,35,15,1_1,0x165,27,0,0
19754,36,10,1_1,0x165,27,0,0
19754,36,15,0_1,0x2,24,0,0
19754,37,5,1_1,0x190,27,0,0
19754,38,1,1_1,0x165,27,0,0
19754,38,13,1_1,0x190,27,0,1
19754,38,15,0_1,0x2,24,0,0
19754,39,7,1_1,0x3c9,27,0,0
19754,40,1,1_1,0x190,26,0,1
19754,40,15,0_1,0x62,22,0,0
19754,40,17,1_1,0x3c9,27,0,0
19754,41,11,1_1,0x190,27,0,1
19754,42,5,1_1,0x165,27,0,0
19754,42,15,0_1,0x42,21,0,0
19754,43,0,1_1,0x190,27,0,0
19754,43,13,1_1,0x190,27,0,1
19754,44,10,1_1,0x190,27,0,0
19754,44,15,0_1,0x42,23,0,0
19754,45,3,1_1,0x165,27,0,1
19754,45,17,1_1,0x3c9,27,0,0
19754,46,11,1_1,0x165,26,0,1
19754,46,15,0_1,0x62,23,0,0
19754,47,5,1_1,0x190,27,0,0
19754,48,1,1_1,0x165,26,0,0
19754,48,15,0_1,0x62,21,0,0
19754,48,15,1_1,0x190,27,0,0
